index,title,research_type,result_outcome,affiliation,problem_description,goal/objective,research_method,research_question,hypothesis,prediction,contribution,pseudocode,open_source_code,open_experiment_code,train,validation,test,results,hardware_specification,software_dependencies,third_party_citation,experiment_setup,evaluation_criteria,authors,link,comments,conference
62,Linear Arithmetic Satisfiability via Strategy Improvement,E,1,0,1,0,0,0,0,0,0,1,0,0,,,1,0,1,1,1,1,1,Azadeh Farzan and Zachary Kincaid,http://www.ijcai.org/Proceedings/16/Papers/110.pdf,,IJCAI 16
63,Question Answering via Integer Programming over Semi-Structured Knowledge,E,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,"Daniel Khashabi, Tushar Khot, Ashish Sabharwal, Peter Clark, Oren Etzioni and Dan Roth",http://www.ijcai.org/Proceedings/16/Papers/166.pdf,,IJCAI 16
64,Static Symmetry Breaking with the Reflex Ordering,E,1,0,0,0,0,0,0,0,1,1,0,0,,,0,0,1,1,1,1,1,Jimmy Lee and Zichen Zhu,http://www.ijcai.org/Proceedings/16/Papers/113.pdf,,IJCAI 16
65,Learning using Unselected Features (LUFe),E,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,"Joseph Taylor, Viktoriia Sharmanska, Kristian Kersting, David Weir and Novi Quadrianto",http://www.ijcai.org/Proceedings/16/Papers/294.pdf,,IJCAI 16
66,Extending the Harper Identity to Iterated Belief Change,T,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,Richard Booth and Jake Chandler,http://www.ijcai.org/Proceedings/16/Papers/144.pdf,,IJCAI 16
67,Cold-start recommendations for audio news stories using matrix factorization,E,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Ehsan Mohammady Ardehaly, Aron Culotta, Vivek Sundararaman and Alwar Narayanan",http://www.ijcai.org/Proceedings/16/Papers/198.pdf,,IJCAI 16
68,Efficient Bayesian Clustering for Reinforcement Learning,E,1,1,1,0,0,0,0,0,0,1,0,0,,,1,0,0,0,1,1,1,"Travis Mandel, Yun-En Liu, Emma Brunskill and Zoran Popovic",http://www.ijcai.org/Proceedings/16/Papers/262.pdf,,IJCAI 16
69,Strategic Voting with Incomplete Information,T,1,0,0,0,0,1,0,0,1,,,,,,,,,,,,,"Ulle Endriss, Svetlana Obraztsova, Maria Polukarov and Jeffrey S. Rosenschein",http://www.ijcai.org/Proceedings/16/Papers/041.pdf,,IJCAI 16
70,Object Recognition with Hidden Attributes,E,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,Qiang Ji and Xiaoyang Wang,http://www.ijcai.org/Proceedings/16/Papers/494.pdf,,IJCAI 16
71,A Decision Procedure for a Fragment of Linear Time Mu-Calculus,T,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,"Yao Liu, Zhenhua Duan and Cong Tian",http://www.ijcai.org/Proceedings/16/Papers/173.pdf,,IJCAI 16
72,POISketch: Semantic Place Labeling over User Activity Streams,E,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,"Dingqi Yang, Bin Li and Philippe Cudré-Mauroux",http://www.ijcai.org/Proceedings/16/Papers/383.pdf,,IJCAI 16
73,Tight Policy Regret Bounds for Improving and Decaying Bandits,E,1,0,1,1,0,0,0,0,0,1,0,0,,,0,0,0,0,0,1,1,"Hoda Heidari, Michael Kearns and Aaron Roth",http://www.ijcai.org/Proceedings/16/Papers/224.pdf,,IJCAI 16
74,Online Mechanism Design for Vehicle-to-Grid Car Parks,E,1,0,1,1,0,0,0,0,1,0,0,0,,,1,1,0,0,0,1,1,"Enrico Gerding, Sebastian Stein, Sofia Ceppi and Valentin Robu",http://www.ijcai.org/Proceedings/16/Papers/048.pdf,,IJCAI 16
75,Incomplete Causal Laws in the Situation Calculus using Free Fluents,T,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,"Marcelo Arenas, Jorge Baier, Juan Navarro and Sebastian Sardina",http://www.ijcai.org/Proceedings/16/Papers/133.pdf,,IJCAI 16
76,Online Symbolic Gradient-Based Optimization for Factored Action MDPs,E,1,0,1,0,0,0,0,0,1,1,0,0,,,0,0,1,0,0,1,1,Hao Cui and Roni Khardon,http://www.ijcai.org/Proceedings/16/Papers/436.pdf,,IJCAI 16
77,Diversifying Convex Transductive Experimental Design for Active Learning,E,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,Lei Shi and Yi-Dong Shen,http://www.ijcai.org/Proceedings/16/Papers/285.pdf,,IJCAI 16
78,Real-Time Web Scale Event Summarization Using Sequential Decision Making,E,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,"Chris Kedzie, Fernando Diaz and Kathleen Mckeown",http://www.ijcai.org/Proceedings/16/Papers/528.pdf,,IJCAI 16
79,Hierarchical Finite State Controllers for Generalized Planning,E,1,0,0,0,0,0,0,0,1,0,0,0,,,0,0,1,0,1,0,0,"Javier Segovia, Sergio Jimenez and Anders Jonsson",http://www.ijcai.org/Proceedings/16/Papers/458.pdf,,IJCAI 16
80,Robust Iterative Quantization for Efficient ℓp-norm Similarity Search,E,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,"Yuchen Guo, Guiguang Ding and Jungong Han",http://www.ijcai.org/Proceedings/16/Papers/478.pdf,,IJCAI 16
81,Synthesizing Robotic Handwriting Motion by Learning from Human Demonstrations,E,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,"Hang Yin, Patricia Alves-Olivera, Francesco S. Melo, Aude Billard and Ana Paiva",http://www.ijcai.org/Proceedings/16/Papers/498.pdf,,IJCAI 16
82,Allocating Indivisible Items in Categorized Domains,T,1,0,1,0,0,0,0,0,1,,,,,,,,,,,,,Erika Mackin and Lirong Xia,http://www.ijcai.org/Proceedings/16/Papers/058.pdf,,IJCAI 16
83,Improving Top-N Recommendation with Heterogeneous Loss,E,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,Feipeng Zhao and Yuhong Guo,http://www.ijcai.org/Proceedings/16/Papers/339.pdf,,IJCAI 16
84,Max-Margin DeepWalk: Discriminative Learning of Network Representation,E,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,"Cunchao Tu, Weicheng Zhang, Zhiyuan Liu and Maosong Sun",http://www.ijcai.org/Proceedings/16/Papers/547.pdf,,IJCAI 16
85,Moving in a Crowd: Safe and Efficient Navigation among Heterogeneous Agents,E,1,0,1,0,0,0,0,0,1,1,0,0,,,0,0,0,0,0,1,1,"Julio Godoy, Ioannis Karamouzas, Stephen Guy and Maria Gini",http://www.ijcai.org/Proceedings/16/Papers/049.pdf,,IJCAI 16
86,Bridging LSTM Architecture and the Neural Dynamics during Reading,E,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,"Peng Qian, Xipeng Qiu and Xuanjing Huang",http://www.ijcai.org/Proceedings/16/Papers/279.pdf,,IJCAI 16
87,Automated Synthesis of Timed Failure Propagation Graphs,E,1,0,0,1,0,0,0,0,0,1,1,0,,,1,0,1,1,1,0,0,"Automated Synthesis of Timed Failure Propagation Graphs Benjamin Bittner, Marco Bozzano and Alessandro Cimatti",http://www.ijcai.org/Proceedings/16/Papers/142.pdf,,IJCAI 16
88,Contextual Symmetries in Probabilistic Graphical Models,E,1,0,0,1,0,0,0,0,1,0,1,1,,,1,1,0,0,1,1,0,"Ankit Anand, Aditya Grover, Mausam, and Parag Singla",http://www.ijcai.org/Proceedings/16/Papers/502.pdf,,IJCAI 16
89,Learning by Actively Querying Strong Modal Features,E,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,"Yang Yang, De-Chuan Zhan, Yuan Jiang",http://www.ijcai.org/Proceedings/16/Papers/325.pdf,,IJCAI 16
90,A Polynomial Time Optimal Algorithm for Robot-Human Search under Uncertainty,E,1,0,0,0,0,0,0,0,0,1,0,0,,,0,0,0,0,0,0,1,"Shaofei Chen, Tim Baarslag, Dengji Zhao, Jing Chen and Lincheng Shen",http://www.ijcai.org/Proceedings/16/Papers/121.pdf,,IJCAI 16
91,Truncating Shortest Path Search for Efficient Map-matching,E,1,2,1,1,0,0,0,0,1,0,0,0,,,1,0,1,1,1,1,1,"Takashi Imamichi, Takayuki Osogami and Rudy Raymond",http://www.ijcai.org/Proceedings/16/Papers/090.pdf,,IJCAI 16
92,Incorporating Prototype Theory in Convolutional Neural Networks,E,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,1,"Babak Saleh, Ahmed Elgammal and Jacob Feldman",http://www.ijcai.org/Proceedings/16/Papers/487.pdf,,IJCAI 16
93,Conditional and Sequential Approval Voting on Combinatorial Domains,T,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,Nathanaël Barrot and Jérôme Lang,http://www.ijcai.org/Proceedings/16/Papers/020.pdf,,IJCAI 16
94,"Robust Natural Language Processing — Combining Reasoning, Cognitive Semantics, and Construction Grammar for Spatial Language",E,1,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,1,1,"Michael Spranger, Jakob Suchan and Mehul Bhatt",http://www.ijcai.org/Proceedings/16/Papers/413.pdf,,IJCAI 16
95,Online Multi-object Tracking by Quadratic Pseudo-Boolean Optimization,E,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,"Long Lan, Dacheng Tao, Chen Gong, Naiyang Guan and Zhigang Luo",http://www.ijcai.org/Proceedings/16/Papers/480.pdf,,IJCAI 16
96,Learning Multi-Modal Grounded Linguistic Semantics by Playing “I Spy”,E,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,"Jesse Thomason, Jivko Sinapov, Max Svetlik, Peter Stone and Raymond Mooney",http://www.ijcai.org/Proceedings/16/Papers/491.pdf,,IJCAI 16
